2018/09/26,5,2123
2018/09/27,2,2125
2018/09/28,5,2130
2018/09/29,8,2138
2018/09/30,1,2139
2018/10/02,1,2140
2018/10/03,1,2141
2018/10/04,2,2143
2018/10/05,2,2145
2018/10/06,2,2147
2018/10/07,3,2150
2018/10/08,2,2152
2018/10/09,5,2157
2018/10/10,1,2158
2018/10/11,2,2160
2018/10/12,6,2166
2018/10/13,3,2169
2018/10/14,2,2171
2018/10/15,4,2175
2018/10/16,2,2177
2018/10/17,5,2182
2018/10/18,1,2183
2018/10/19,5,2188
2018/10/20,2,2190
2018/10/21,2,2192
2018/10/22,4,2196
2018/10/23,5,2201
2018/10/24,8,2209
2018/10/25,4,2213
2018/10/26,1,2214
2018/10/27,2,2216
2018/10/29,2,2218
2018/10/30,4,2222
2018/10/31,1,2223
2018/11/01,4,2227
2018/11/02,2,2229
2018/11/03,1,2230
2018/11/05,4,2234
2018/11/06,10,2244
2018/11/07,10,2254
2018/11/08,3,2257
2018/11/09,7,2264
2018/11/10,2,2266
2018/11/11,6,2272
2018/11/12,8,2280
2018/11/13,2,2282
2018/11/14,5,2287
2018/11/15,10,2297
2018/11/16,3,2300
2018/11/17,2,2302
2018/11/18,5,2307
2018/11/19,7,2314
2018/11/20,9,2323
2018/11/21,4,2327
2018/11/22,6,2333
2018/11/23,4,2337
2018/11/24,1,2338
2018/11/25,4,2342
2018/11/26,4,2346
2018/11/27,4,2350
2018/11/28,8,2358
2018/11/29,6,2364
2018/11/30,2,2366
2018/12/01,1,2367
2018/12/02,4,2371
2018/12/03,3,2374
2018/12/04,1,2375
2018/12/05,3,2378
2018/12/06,11,2389
2018/12/07,2,2391
2018/12/08,2,2393
2018/12/09,3,2396
2018/12/10,10,2406
2018/12/11,9,2415
2018/12/12,9,2424
2018/12/13,10,2434
2018/12/14,4,2438
2018/12/15,1,2439
2018/12/16,1,2440
2018/12/17,6,2446
2018/12/18,5,2451
2018/12/19,2,2453
2018/12/20,7,2460
2018/12/21,3,2463
2018/12/22,2,2465
2018/12/23,5,2470
2018/12/24,6,2476
2018/12/25,2,2478
2018/12/27,1,2479
2018/12/28,8,2487
2018/12/29,4,2491
2018/12/31,3,2494
2019/01/02,4,2498
2019/01/03,2,2500
2019/01/04,5,2505
2019/01/06,4,2509
2019/01/07,7,2516
2019/01/08,3,2519
2019/01/09,5,2524
2019/01/10,2,2526
2019/01/11,4,2530
2019/01/12,2,2532
2019/01/14,5,2537
2019/01/15,4,2541
2019/01/16,2,2543
2019/01/17,1,2544
2019/01/18,2,2546
2019/01/19,2,2548
2019/01/20,2,2550
2019/01/21,6,2556
2019/01/22,3,2559
2019/01/23,5,2564
2019/01/24,7,2571
2019/01/25,5,2576
2019/01/26,2,2578
2019/01/27,3,2581
2019/01/28,6,2587
2019/01/29,5,2592
2019/01/30,1,2593
2019/01/31,3,2596
2019/02/01,2,2598
2019/02/02,4,2602
2019/02/03,1,2603
2019/02/04,2,2605
2019/02/05,2,2607
2019/02/06,2,2609
2019/02/07,9,2618
2019/02/08,4,2622
2019/02/09,2,2624
2019/02/10,3,2627
2019/02/11,4,2631
2019/02/12,3,2634
2019/02/13,3,2637
2019/02/14,7,2644
2019/02/15,4,2648
2019/02/17,2,2650
2019/02/18,5,2655
2019/02/19,6,2661
2019/02/20,6,2667
2019/02/21,2,2669
2019/02/22,2,2671
2019/02/23,4,2675
2019/02/24,5,2680
2019/02/25,7,2687
2019/02/26,6,2693
2019/02/27,11,2704
2019/02/28,12,2716
2019/03/01,6,2722
2019/03/02,16,2738
2019/03/03,7,2745
2019/03/04,12,2757
2019/03/05,15,2772
2019/03/06,13,2785
2019/03/07,7,2792
2019/03/08,5,2797
2019/03/09,4,2801
2019/03/10,5,2806
2019/03/11,4,2810
2019/03/12,8,2818
2019/03/13,5,2823
2019/03/14,9,2832
2019/03/15,2,2834
2019/03/16,5,2839
2019/03/17,1,2840
2019/03/18,6,2846
2019/03/19,1,2847
2019/03/20,4,2851
2019/03/21,7,2858
2019/03/22,8,2866
2019/03/24,3,2869
2019/03/25,1,2870
2019/03/26,9,2879
2019/03/27,8,2887
2019/03/28,2,2889
2019/03/29,3,2892
2019/03/30,2,2894
2019/03/31,7,2901
2019/04/01,6,2907
2019/04/02,7,2914
2019/04/03,7,2921
2019/04/04,5,2926
2019/04/05,2,2928
2019/04/06,3,2931
2019/04/07,1,2932
2019/04/08,8,2940
2019/04/09,4,2944
2019/04/10,4,2948
2019/04/11,5,2953
2019/04/12,4,2957
2019/04/13,2,2959
2019/04/14,3,2962
2019/04/15,5,2967
2019/04/16,4,2971
2019/04/17,4,2975
2019/04/18,7,2982
2019/04/19,6,2988
2019/04/20,2,2990
2019/04/22,2,2992
2019/04/24,2,2994
2019/04/25,3,2997
2019/04/26,3,3000
2019/04/27,7,3007
2019/04/28,1,3008
2019/04/29,1,3009
2019/04/30,6,3015
2019/05/01,4,3019
2019/05/02,4,3023
2019/05/03,6,3029
2019/05/04,1,3030
2019/05/05,4,3034
2019/05/06,3,3037
2019/05/07,3,3040
2019/05/08,2,3042
2019/05/09,5,3047
2019/05/10,5,3052
2019/05/11,1,3053
2019/05/12,6,3059
2019/05/13,9,3068
2019/05/14,8,3076
2019/05/15,6,3082
2019/05/16,5,3087
2019/05/17,2,3089
2019/05/18,2,3091
2019/05/19,1,3092
2019/05/20,3,3095
2019/05/22,4,3099
2019/05/23,2,3101
2019/05/24,7,3108
2019/05/25,1,3109
2019/05/26,2,3111
2019/05/27,3,3114
2019/05/28,3,3117
2019/05/29,6,3123
2019/05/30,5,3128
2019/05/31,4,3132
2019/06/01,2,3134
2019/06/02,1,3135
2019/06/03,2,3137
2019/06/04,2,3139
2019/06/05,8,3147
2019/06/06,1,3148
2019/06/07,2,3150
2019/06/08,2,3152
2019/06/09,1,3153
2019/06/10,2,3155
2019/06/11,4,3159
2019/06/12,4,3163
2019/06/13,4,3167
2019/06/14,2,3169
2019/06/15,2,3171
2019/06/16,2,3173
2019/06/17,1,3174
2019/06/18,7,3181
2019/06/19,6,3187
2019/06/20,2,3189
2019/06/21,3,3192
2019/06/22,1,3193
2019/06/25,2,3195
2019/06/26,2,3197
2019/06/27,3,3200
2019/06/28,4,3204
2019/06/29,1,3205
2019/07/02,5,3210
2019/07/03,1,3211
2019/07/04,1,3212
2019/07/05,4,3216
2019/07/06,3,3219
2019/07/07,5,3224
2019/07/08,1,3225
2019/07/09,4,3229
2019/07/11,1,3230
2019/07/14,1,3231
2019/07/16,1,3232
2019/07/18,1,3233
2019/07/21,2,3235
2019/07/23,9,3244
2019/07/24,3,3247
2019/07/25,1,3248
2019/07/26,2,3250
2019/07/27,1,3251
2019/07/29,3,3254
2019/07/30,1,3255
2019/07/31,2,3257
2019/08/01,4,3261
2019/08/02,4,3265
2019/08/03,2,3267
2019/08/04,4,3271
2019/08/07,1,3272
2019/08/08,2,3274
2019/08/09,2,3276
2019/08/10,2,3278
2019/08/12,2,3280
2019/08/14,4,3284
2019/08/17,2,3286
2019/08/19,4,3290
2019/08/20,1,3291
2019/08/21,1,3292
2019/08/22,2,3294
2019/08/25,2,3296
2019/08/26,1,3297
2019/08/27,1,3298
2019/08/28,2,3300
2019/08/29,1,3301
2019/08/30,2,3303
2019/08/31,3,3306
2019/09/04,3,3309
2019/09/05,1,3310
2019/09/10,2,3312
2019/09/11,1,3313
2019/09/12,1,3314
2019/09/15,2,3316
2019/09/17,1,3317
2019/09/18,1,3318
2019/09/19,1,3319
2019/09/21,1,3320
2019/09/23,2,3322
2019/09/24,1,3323
2019/09/26,1,3324
2019/09/27,2,3326
2019/10/01,3,3329
2019/10/03,1,3330
2019/10/04,2,3332
2019/10/06,1,3333
2019/10/07,1,3334
2019/10/08,1,3335
2019/10/09,2,3337
2019/10/11,2,3339
2019/10/12,1,3340
2019/10/14,1,3341
2019/10/15,1,3342
2019/10/18,1,3343
2019/10/20,1,3344
2019/10/21,2,3346
2019/10/22,2,3348
2019/10/24,1,3349
2019/10/25,5,3354
2019/10/26,1,3355
2019/10/27,3,3358
2019/10/29,3,3361
2019/10/31,3,3364
2019/11/02,1,3365
2019/11/04,2,3367
2019/11/05,5,3372
2019/11/06,2,3374
2019/11/07,2,3376
2019/11/08,1,3377
2019/11/09,3,3380
2019/11/10,1,3381
2019/11/11,3,3384
2019/11/12,1,3385
2019/11/14,5,3390
2019/11/15,1,3391
2019/11/19,7,3398
2019/11/20,2,3400
2019/11/22,3,3403
2019/11/23,1,3404
2019/11/24,1,3405
2019/11/25,1,3406
2019/11/26,2,3408
2019/11/28,3,3411
2019/11/29,1,3412
2019/12/01,1,3413
2019/12/02,1,3414
2019/12/03,1,3415
2019/12/04,1,3416
2019/12/06,1,3417
2019/12/09,2,3419
2019/12/11,2,3421
2019/12/12,1,3422
2019/12/13,3,3425
2019/12/15,2,3427
2019/12/18,2,3429
2019/12/19,1,3430
2019/12/21,1,3431
2019/12/24,2,3433
2019/12/26,3,3436
2019/12/27,4,3440
2019/12/28,1,3441
2019/12/29,1,3442
2019/12/30,2,3444
2020/01/01,1,3445
2020/01/03,3,3448
2020/01/05,1,3449
2020/01/06,5,3454
2020/01/07,2,3456
2020/01/08,1,3457
2020/01/09,2,3459
2020/01/13,2,3461
2020/01/15,2,3463
2020/01/16,1,3464
2020/01/18,2,3466
2020/01/20,1,3467
2020/01/21,2,3469
2020/01/24,1,3470
2020/01/29,1,3471
2020/01/31,2,3473
2020/02/02,1,3474
2020/02/03,2,3476
2020/02/05,2,3478
2020/02/07,2,3480
2020/02/09,2,3482
2020/02/11,2,3484
2020/02/12,1,3485
2020/02/13,1,3486
2020/02/14,1,3487
2020/02/15,2,3489
2020/02/16,2,3491
2020/02/17,1,3492
2020/02/18,1,3493
2020/02/19,1,3494
2020/02/20,1,3495
2020/02/21,1,3496
2020/02/22,2,3498
2020/02/23,3,3501
2020/02/24,1,3502
2020/02/27,1,3503
2020/02/28,2,3505
2020/02/29,1,3506
2020/03/02,2,3508
2020/03/03,1,3509
2020/03/04,2,3511
2020/03/05,2,3513
2020/03/06,2,3515
2020/03/07,1,3516
2020/03/08,1,3517
2020/03/10,1,3518
2020/03/11,1,3519
2020/03/12,2,3521
2020/03/15,1,3522
2020/03/16,1,3523
2020/03/17,1,3524
2020/03/19,1,3525
2020/03/21,2,3527
2020/03/22,1,3528
2020/03/23,1,3529
2020/03/26,1,3530
2020/03/27,1,3531
2020/03/28,1,3532
2020/03/29,1,3533
2020/03/30,1,3534
2020/03/31,1,3535
2020/04/01,2,3537
2020/04/02,1,3538
2020/04/03,4,3542
2020/04/05,7,3549
2020/04/06,4,3553
2020/04/07,1,3554
2020/04/08,4,3558
2020/04/10,1,3559
2020/04/11,1,3560
2020/04/12,2,3562
2020/04/13,2,3564
2020/04/14,1,3565
2020/04/15,1,3566
2020/04/16,2,3568
2020/04/17,2,3570
2020/04/18,2,3572
2020/04/20,2,3574
2020/04/21,2,3576
2020/04/22,2,3578
2020/04/23,1,3579
2020/04/25,1,3580
2020/04/27,1,3581
2020/04/29,2,3583
2020/04/30,2,3585
2020/05/01,3,3588
2020/05/05,1,3589
2020/05/06,1,3590
2020/05/08,1,3591
2020/05/09,1,3592
2020/05/10,1,3593
2020/05/11,1,3594
2020/05/12,2,3596
2020/05/13,4,3600
2020/05/14,1,3601
